               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  53,              1.9853,              1.5598,              1.7726,             0.98309,               0.875,             0.95551,             0.59766,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,               1.875,              1.4477,              1.7206,             0.98562,             0.91667,             0.97041,             0.58485,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.0046,              1.6065,              1.7635,                   1,             0.86899,             0.93745,             0.59141,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.9894,              1.5845,              1.8076,             0.98931,             0.91667,             0.93895,             0.60602,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.8101,              1.3438,              1.6713,             0.93361,             0.91667,             0.95292,             0.60202,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.9663,              1.5474,              1.7396,             0.95273,             0.84013,             0.93144,             0.60833,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.8659,              1.4248,              1.6578,             0.93123,               0.875,             0.95372,             0.60172,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.8659,              1.5433,              1.6671,             0.86453,             0.95833,             0.93443,             0.62984,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.9174,               1.417,              1.7369,             0.88146,             0.92984,             0.96691,             0.65658,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.8831,              1.3617,              1.6376,             0.84267,             0.95833,             0.95267,             0.61865,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.8389,              1.3394,              1.6982,             0.80568,             0.91667,             0.94114,             0.64599,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.8193,              1.4043,              1.7011,             0.95128,             0.81406,             0.94883,               0.609,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.8531,              1.3914,               1.736,             0.91129,               0.875,             0.94766,             0.59877,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.7802,              1.2926,              1.7001,                   1,             0.95638,             0.99192,             0.63109,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.8778,              1.2922,              1.6595,             0.94261,               0.875,             0.97427,             0.61606,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.8097,              1.3366,              1.6369,             0.85271,             0.96507,             0.96784,             0.61651,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.8177,              1.3624,              1.6142,             0.90615,             0.91667,             0.96246,             0.66352,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.7358,              1.2548,              1.6313,             0.88119,             0.92741,             0.93523,             0.62794,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,               1.836,              1.2818,              1.7025,                   1,             0.86341,             0.95939,             0.67081,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.8243,              1.3033,              1.6748,             0.91372,             0.88275,             0.96452,             0.59609,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.8542,              1.2856,              1.6739,                   1,             0.87403,             0.97865,             0.58515,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.8919,              1.3446,              1.6845,              0.9573,             0.95833,             0.98533,             0.62693,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.7479,              1.2573,              1.5801,                   1,             0.90664,              0.9818,             0.65378,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.6871,              1.1976,              1.5849,             0.98638,             0.95833,             0.98929,             0.66395,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.8591,              1.3165,              1.7244,             0.91131,             0.95833,             0.98477,             0.66688,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.7245,              1.2016,              1.5835,             0.91038,                   1,             0.94423,             0.61578,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,               1.679,              1.1826,              1.6008,             0.92034,             0.96291,             0.99026,             0.63409,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.6216,              1.1357,              1.5157,                   1,             0.94775,             0.99056,             0.66159,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.7824,              1.2345,              1.6087,             0.95835,              0.9588,              0.9934,             0.64834,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.7226,              1.1869,              1.6408,             0.95883,             0.97084,              0.9934,             0.64043,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.7436,              1.2551,              1.5835,             0.95475,             0.87935,             0.98367,             0.63841,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.7329,              1.1541,              1.5777,             0.97886,             0.95833,             0.99056,             0.64176,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.6899,              1.2057,               1.587,             0.98628,             0.95833,             0.98929,             0.61554,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.7603,              1.2343,              1.5825,             0.99846,             0.95833,             0.98095,             0.62477,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
